INDIR,OUTDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE FS,OUT FILE ZC,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,AUTO ID*,PULSES,MATCHING,MATCH RATIO,MARGIN,ALTERNATE 1,ALTERNATE 2,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,OUTPATHMD5FS,OUTPATHMD5ZC
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061436.zc,0,0,6.408862,,,2021-08-28,6:14:36,6,2021-08-27,18:14:36,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,QWPxM3heiqljgPlrfcLSYw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063221.zc,0,0,11.00011,,,2021-08-28,6:32:21,6,2021-08-27,18:32:21,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,ZcyUyertR4vIit6VIaw2og==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062334.zc,0,0,14.994892,,,2021-08-28,6:23:34,6,2021-08-27,18:23:34,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,NvkdgLN2VOhUB/c+/3bhTA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061904.zc,0,0,12.990199,,,2021-08-28,6:19:04,6,2021-08-27,18:19:04,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,QRJP8rKSXqb95xGU2y0MeQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061448.zc,0,0,10.437083,,,2021-08-28,6:14:48,6,2021-08-27,18:14:48,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,Tno7o6WPBiMHoTBCtkrCcg==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062736.zc,0,0,14.423019,,,2021-08-28,6:27:36,6,2021-08-27,18:27:36,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,ACgp/GpBkIxXc6R0kdPymQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062351.zc,0,0,9.014765,,,2021-08-28,6:23:51,6,2021-08-27,18:23:51,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,qnw6GIikn4PJcIK5gNgSbw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063232.zc,0,0,12.959751,,,2021-08-28,6:32:32,6,2021-08-27,18:32:32,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,fb5YNtQeRYyjgJ/bAU5cKw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061920.zc,0,0,10.468324,,,2021-08-28,6:19:20,6,2021-08-27,18:19:20,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,j/o1L1t8PzOAa+/q/+KRQw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061504.zc,0,0,14.993529,,,2021-08-28,6:15:04,6,2021-08-27,18:15:04,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,cpT4fi1lup6f1gE6TTdKdA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062753.zc,0,0,14.508881,,,2021-08-28,6:27:53,6,2021-08-27,18:27:53,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,ZtQP+c10qtaYutBGscKNUA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063249.zc,0,0,10.024815,,,2021-08-28,6:32:49,6,2021-08-27,18:32:49,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,jhh5xo+GBkAs08gHmv1WAA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062403.zc,0,0,11.125057,,,2021-08-28,6:24:03,6,2021-08-27,18:24:03,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,e6XzSjOLCqkbgoVRyqs7Uw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061937.zc,0,0,9.729662,,,2021-08-28,6:19:37,6,2021-08-27,18:19:37,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,+Fns2lzrEHp5P+bACGa3EA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061528.zc,0,0,15.003505,,,2021-08-28,6:15:28,6,2021-08-27,18:15:28,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,U2mrpiH7IZBmlN/G2bD/dQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_035125.zc,0,0,6.926798,,,2021-08-28,3:51:25,3,2021-08-27,15:51:25,15,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,OUXgg9FG2yQNOGfZ6tzQgA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062822.zc,0,0,6.466764,,,2021-08-28,6:28:22,6,2021-08-27,18:28:22,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,9RZHgEygZ2qLNbHdNVGjsQ==,,
