"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_015552.zc","0","0","14.768893","","","2021-08-28","01:55:52","1","2021-08-27","13:55:52","13","EPTFUS","76","65","0.855","0.262659","LASNOC","TADBRA","76","31.064","67.53","4.925","49.812","29.538","36.225","143.406","33.532","3.208","229.27","4.409","18.63","1","","","","","","oKVvyhAfFVzRgh1JnggeJg==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_234928.zc","0","0","14.993643","","","2021-08-28","23:49:28","23","2021-08-28","11:49:28","11","EPTFUS","62","53","0.855","0.27633","TADBRA","","62","30.279","46.94","6.871","53.866","29.486","37.321","225.457","31.63","5.413","211.13","6.464","12","1","","","","","","MM0jJ/DO+DnD9SIXVHAkbQ==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_232931.zc","0","0","8.861369","","","2021-08-28","23:29:31","23","2021-08-28","11:29:31","11","EPTFUS","55","52","0.945","0.294656","LASNOC","TADBRA","55","30.877","108.65","5.619","62.867","29.379","40.035","90.966","33.964","4.062","407.6","5.228","14.56","1","","","","","","pIxUH5zL5TFcOlrqHbmSMQ==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_033138.zc","0","0","12.880392","","","2021-08-28","03:31:38","3","2021-08-27","15:31:38","15","EPTFUS","47","43","0.915","0.273576","LASNOC","TADBRA","47","32.149","77.34","4.149","48.715","31.105","37.092","139.018","34.17","2.868","323.96","3.79","10.71","1","","","","","","oVCgzfYDS7MiyIW/6hwInA==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_002635.zc","0","0","15.002305","","","2021-08-28","00:26:35","0","2021-08-27","12:26:35","12","EPTFUS","50","43","0.86","0.25155","TADBRA","LASNOC","50","30.833","115.88","5.258","56.963","28.913","37.895","287.326","34.317","3.326","224.69","4.692","11.13","1","","","","","","JIp1yjwTZz+3lOvrEByJ7Q==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_234834.zc","0","0","14.993711","","","2021-08-28","23:48:34","23","2021-08-28","11:48:34","11","EPTFUS","64","43","0.672","0.285478","TADBRA","LASNOC","64","30.389","50.12","4.798","41.537","29.474","33.649","184.633","31.941","3.168","221.26","4.353","12.94","1","","","","","","XY4MYTcRQ7t5xkXKgK3d5Q==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210827_020059.zc","0","0","11.757177","","","2021-08-27","02:00:59","2","2021-08-26","14:00:59","14","EPTFUS","51","40","0.784","0.277184","TADBRA","LASNOC","51","30.342","40.03","5.537","47.026","29.435","34.609","135.189","31.584","3.925","142.91","5.034","14.32","1","","","","","","vNij3wIG/DGkUtEDN8u+4Q==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_020328.zc","0","0","10.18538","","","2021-08-28","02:03:28","2","2021-08-27","14:03:28","14","EPTFUS","45","39","0.867","0.389273","TADBRA","","45","29.545","50.49","5.779","48.509","28.416","34.634","153.217","31.257","3.927","217.47","5.211","12.07","1","","","","","","Ji/5cZCFpsWWbo5DJmyfMg==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210827_023814.zc","0","0","10.911975","","","2021-08-27","02:38:14","2","2021-08-26","14:38:14","14","EPTFUS","42","38","0.905","0.240237","LASNOC","TADBRA","42","31.307","70.94","4.26","43.128","30.258","35.097","155.131","33.574","2.629","215.84","3.846","8.81","1","","","","","","vuBza96ZLHh0o4tk07liZg==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2198 9.2/Bat output","","SMU02198_20210828_233006.zc","0","0","10.264877","","","2021-08-28","23:30:06","23","2021-08-28","11:30:06","11","EPTFUS","47","38","0.809","0.218291","TADBRA","LASNOC","47","31.276","69.94","6.278","57.624","29.792","38.737","134.733","32.877","4.909","206.81","5.908","13.07","1","","","","","","6GC2iqVRTNXqxH2KBxBohw==","",""
