"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021126.zc","0","0","7.621565","","","2021-08-29","02:11:26","2","2021-08-28","14:11:26","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","DcoDpODAGpyCTaec3JC5jQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022420.zc","0","0","11.781989","","","2021-08-29","02:24:20","2","2021-08-28","14:24:20","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","4Xb/+dQsHhr+ztsQJeDtSQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_015018.zc","0","0","10.227176","","","2021-08-29","01:50:18","1","2021-08-28","13:50:18","13","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","IEwbNBncyYHsVbgTEqmrGg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020745.zc","0","0","9.285601","","","2021-08-29","02:07:45","2","2021-08-28","14:07:45","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","W6xfTR8rsGB43yH+1MY62w==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022723.zc","0","0","12.974758","","","2021-08-29","02:27:23","2","2021-08-28","14:27:23","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","6FV1bDthr6+8nsHiHW08BA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021712.zc","0","0","4.402682","","","2021-08-29","02:17:12","2","2021-08-28","14:17:12","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","N+p2NQpgfSA9fS/FoA9FgQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022113.zc","0","0","7.785572","","","2021-08-29","02:21:13","2","2021-08-28","14:21:13","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","2abfPxkU92zxnRXnsVLVww==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_015657.zc","0","0","12.774285","","","2021-08-29","01:56:57","1","2021-08-28","13:56:57","13","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","XfruKqgCSBcitja0wDwYXw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020401.zc","0","0","4.297369","","","2021-08-29","02:04:01","2","2021-08-28","14:04:01","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","UuRBGCY2NwGbQqtKY6hmNw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022435.zc","0","0","7.713971","","","2021-08-29","02:24:35","2","2021-08-28","14:24:35","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","0rAVWAFyvg7iM4YFPcC0zg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021138.zc","0","0","9.156178","","","2021-08-29","02:11:38","2","2021-08-28","14:11:38","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","92ihMbCaYul1kUiu+OLgVw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023344.zc","0","0","11.537157","","","2021-08-29","02:33:44","2","2021-08-28","14:33:44","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","cegvb/UJutY0QoWuwN1L3w==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020801.zc","0","0","10.307356","","","2021-08-29","02:08:01","2","2021-08-28","14:08:01","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","+gM6+GpdQ1ZOfD7q030ltg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022740.zc","0","0","14.997434","","","2021-08-29","02:27:40","2","2021-08-28","14:27:40","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","T2joQVYQ59ZkOH2/LCCLdQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021721.zc","0","0","5.737799","","","2021-08-29","02:17:21","2","2021-08-28","14:17:21","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","TlgYHjq/qbEoZVfRQEbz7Q==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022121.zc","0","0","9.712766","","","2021-08-29","02:21:21","2","2021-08-28","14:21:21","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","o/ONLtKfkLGqJlm8D99LYQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023734.zc","0","0","8.123942","","","2021-08-29","02:37:34","2","2021-08-28","14:37:34","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","LmrqMEVAygzw14lZJcaxYA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020413.zc","0","0","8.254275","","","2021-08-29","02:04:13","2","2021-08-28","14:04:13","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","13NFp2NXNv/wjrGiOm2lJA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022755.zc","0","0","11.376631","","","2021-08-29","02:27:55","2","2021-08-28","14:27:55","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","Jje4DaO+8K/dbPB9fMOoUQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022137.zc","0","0","5.079204","","","2021-08-29","02:21:37","2","2021-08-28","14:21:37","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","PK0F+qr5J40HODsCrsq/vQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023400.zc","0","0","11.428956","","","2021-08-29","02:34:00","2","2021-08-28","14:34:00","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","ol0mZaUGTl8PENuFblJgDA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020817.zc","0","0","10.591232","","","2021-08-29","02:08:17","2","2021-08-28","14:08:17","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","PD3r9liSfYtb/jgIbx9vJg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022448.zc","0","0","12.390391","","","2021-08-29","02:24:48","2","2021-08-28","14:24:48","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","GM5aE6fU8Nt8J3P32zX02Q==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021758.zc","0","0","12.265695","","","2021-08-29","02:17:58","2","2021-08-28","14:17:58","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","42dMLgSMvv07u6ZSUP+m8w==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021159.zc","0","0","8.930799","","","2021-08-29","02:11:59","2","2021-08-28","14:11:59","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","r2ng0ZtgIk8ZrMSDyL7MSg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020428.zc","0","0","7.756375","","","2021-08-29","02:04:28","2","2021-08-28","14:04:28","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","XRf0bb/xvA5Km3LBIer6jA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022811.zc","0","0","9.385664","","","2021-08-29","02:28:11","2","2021-08-28","14:28:11","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","Ezp33djsxlunHp/7V+OrsA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023415.zc","0","0","6.93215","","","2021-08-29","02:34:15","2","2021-08-28","14:34:15","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","aL1g8jMApYpGoqtofAm9gA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020835.zc","0","0","9.053018","","","2021-08-29","02:08:35","2","2021-08-28","14:08:35","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","yS6o+tDoi8McdmYJXu8noQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022503.zc","0","0","7.755426","","","2021-08-29","02:25:03","2","2021-08-28","14:25:03","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","XxC73s7JWMi4pUC/WLUsBw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023753.zc","0","0","7.519312","","","2021-08-29","02:37:53","2","2021-08-28","14:37:53","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","FU1nd3kAiPTND6OXpinHIA==","",""
