jdate,mean.temp.F,mean.temp.C,high.F,high.C,time,low.F,low.C,time,heat.deg.days,cool.deg.days,rain,avg.wind.speed,high,time,dom.dir
264,69.1,20.61111111,77.9,25.5,1:00p,55.9,13.27777778,2:00a,1.8,5.9,0,0.5,9,10:30a,E
265,72.6,22.55555556,77.2,25.11111111,9:30a,69.1,20.61111111,2:30a,0,7.6,0.53,1.5,17,5:00p,E
266,65.4,18.55555556,73.5,23.05555556,1:30a,52.2,11.22222222,12:00m,2.7,3.1,1.1,1.5,13,4:30a,w
267,58.2,14.55555556,71.8,22.11111111,4:00p,46,7.777777778,6:00a,8.4,1.5,0,0.8,11,12:00p,w
268,60,15.55555556,74.4,23.55555556,3:00p,45.4,7.444444444,6:00a,7.4,2.4,0,0.4,9,2:30p,s
269,61.3,16.27777778,72.3,22.38888889,4:00p,49.9,9.944444444,12:00m,5.5,1.8,0,1.7,16,12:00p,WSW
270,63.7,17.61111111,78.8,26,2:30p,47.7,8.722222222,6:00a,5.7,4.4,0,0.6,14,12:30p,s
271,66,18.88888889,76.8,24.88888889,1:30p,53.8,12.11111111,5:00a,3.1,4.1,0,1,13,1:00p,SW
272,59.1,15.05555556,69.3,20.72222222,3:00p,47.7,8.722222222,12:00m,6.7,0.7,0,0.7,9,11:30a,NNW
273,56.9,13.83333333,71.5,21.94444444,2:00p,43.2,6.222222222,6:00a,9.4,1.3,0.01,0.7,10,11:00a,w
274,55.2,12.88888889,70.6,21.44444444,4:30p,42.6,5.888888889,6:30a,10.6,0.8,0,0.4,7,12:00p,WSW
275,58.9,14.94444444,78.1,25.61111111,3:00p,42.8,6,4:00a,9.1,2.9,0.01,0.5,7,11:30a,SSW
276,67,19.44444444,84,28.88888889,2:30p,51,10.55555556,3:00a,4.2,6.2,0,0.4,11,12:30p,s
277,70.5,21.38888889,82.6,28.11111111,2:00p,64,17.77777778,4:00a,0.1,5.7,0.1,0.4,9,12:30p,SW
278,67.3,19.61111111,77.6,25.33333333,1:30p,59.3,15.16666667,5:30a,1,3.3,0.02,0.7,10,2:30p,NE
279,66.1,18.94444444,70.1,21.16666667,2:30p,63.9,17.72222222,7:00a,0.2,1.4,0,0.6,6,7:30a,NE
280,66.8,19.33333333,76.1,24.5,1:30p,61.5,16.38888889,12:00p,1,2.8,0,0.2,6,10:00a,ENE
