"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210909_203144.zc","0","0","4.765184","","","2021-09-09","20:31:44","20","2021-09-09","08:31:44","8","EPTFUS","2","1","0.5","0.264509","","","2","33.132","263.1","2.176","53.03","33.132","40.424","221.712","41.347","0.962","426.29","2.176","0.53","1","","","","","","+HbiwKZfr60dgJ8JK3CPGA==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210912_021145.zc","0","0","4.301993","","","2021-09-12","02:11:45","2","2021-09-11","14:11:45","14","LASCIN","13","13","1","0.365206","EPTFUS","","13","22.746","5.33","4.749","23.18","22.473","22.242","127.126","22.78","1.682","6.46","3.086","2.59","1","","","","","","boZM4KBLovniLoonTrL0iA==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210911_025926.zc","0","0","4.411373","","","2021-09-11","02:59:26","2","2021-09-10","14:59:26","14","LASCIN","10","10","1","0.333438","","","10","21.807","14.36","3.537","22.974","21.397","21.973","124.427","21.982","1.277","109.51","2.318","2.96","1","","","","","","97U0C/zs708qynFdR48Etg==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210910_005202.zc","0","0","4.231066","","","2021-09-10","00:52:02","0","2021-09-09","12:52:02","12","LASCIN","7","7","1","0.427231","","","7","18.511","5.27","2.885","18.782","18.26","18.518","166.201","18.551","0.743","21.75","2.158","1.78","1","","","","","","qmDybb0u8q0bbTV82dJVcQ==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210912_020612.zc","0","0","4.006733","","","2021-09-12","02:06:12","2","2021-09-11","14:06:12","14","LASCIN","6","6","1","0.311531","","","6","21.712","2","2.489","22.273","21.339","21.728","83.293","21.705","0.8","67.49","2.025","1.97","1","","","","","","KYXZn1VqvTa6G4F+o87T2A==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210911_014133.zc","0","0","3.028229","","","2021-09-11","01:41:33","1","2021-09-10","13:41:33","13","LASCIN","2","2","1","0.189816","EPTFUS","","2","22.851","-38.15","2.219","23.479","21.986","22.567","16.257","22.194","0.716","-78.01","1.589","0.78","1","","","","","","NtWDk5CA5rl18vEfLSasgg==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210915_232804.zc","0","0","5.316082","","","2021-09-15","23:28:04","23","2021-09-15","11:28:04","11","MYOLUC","8","4","0.5","0.152766","MYOSOD","","8","47.673","71.97","3.465","72.098","47.498","54.163","109.765","51.45","1.944","380.45","3.423","2.12","1","","","","","","ruQPHNJP/72FBkEIz6aPbw==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210908_051043.zc","0","0","3.326674","","","2021-09-08","05:10:43","5","2021-09-07","17:10:43","17","MYOLUC","2","2","1","0.449011","MYOSOD","","2","49.31","94.24","2.92","67.845","49.31","55.098","137.683","54.633","1.368","455.98","2.92","0.6","1","","","","","","ThKjviwoiqsbgVzmep75LQ==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210913_233834.zc","0","0","4.601158","","","2021-09-13","23:38:34","23","2021-09-13","11:38:34","11","MYOLUC","4","2","0.5","0.182471","MYOSOD","","4","47.07","102.91","2.609","66.693","47.07","53.09","170.42","51.384","1.335","377.51","2.609","1.01","1","","","","","","94EPNjaIpeugB+5nCxMVMA==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210910_041251.zc","0","0","5.213649","","","2021-09-10","04:12:51","4","2021-09-09","16:12:51","16","MYOSOD","5","3","0.6","0.130033","MYOLUC","","5","44.021","133.14","2.799","74.192","43.215","53.35","129.57","47.423","1.931","243.06","2.651","1.71","1","","","","","","Z5vg5sdm9pCi71CiuBw3pw==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210911_015507.zc","0","0","10.863245","","","2021-09-11","01:55:07","1","2021-09-10","13:55:07","13","NYCHUM","8","1","0.125","0.308868","LASSEM","LASBOR","8","38.639","13.82","3.712","39.602","38.247","38.838","896.774","39.018","1.462","46.29","2.811","2.75","1","","","","","","+G/eWaNPirS7/T1FrOvh/A==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210908_004154.zc","0","0","4.66706","","","2021-09-08","00:41:54","0","2021-09-07","12:41:54","12","NoID","3","0","0","0","","","3","45.759","67.47","3.052","60.367","45.339","50.067","825.625","48.314","1.731","282.69","2.903","0.79","1","","","","","","08GUpqkty/ZkOL+hZDVz9g==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210913_034313.zc","0","0","5.477806","","","2021-09-13","03:43:13","3","2021-09-12","15:43:13","15","NoID","3","0","0","0","","","3","44.24","47.76","3.706","68.491","43.856","50.596","952.246","46.16","2.44","153.36","3.646","0.8","1","","","","","","GQ/5pvV6D6X0SAdnE9VYNg==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210909_203133.zc","0","0","4.744027","","","2021-09-09","20:31:33","20","2021-09-09","08:31:33","8","NoID","8","0","0","0","","","8","35.345","217.8","2.533","61.958","32.682","42.633","93.911","39.217","1.549","549.93","2.18","2.01","1","","","","","","hHl9447uFL8O0X2upUvMRw==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210914_230452.zc","0","0","4.621283","","","2021-09-14","23:04:52","23","2021-09-14","11:04:52","11","NoID","8","0","0","0","","","8","48.819","170.04","2.871","66.867","45.378","52.745","159.337","55.125","1.196","-184.22","2.352","2.09","1","","","","","","CoBBld7zYjuNMnXa9nroEg==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210915_023121.zc","0","0","4.99019","","","2021-09-15","02:31:21","2","2021-09-14","14:31:21","14","NoID","2","0","0","0","","","2","30.73","24.19","2.868","33.407","30.67","31.355","753.598","31.439","0.871","128.48","2.416","0.63","1","","","","","","o+BMlZw5yIGRR0kyK0I1RQ==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210912_035154.zc","0","0","5.748885","","","2021-09-12","03:51:54","3","2021-09-11","15:51:54","15","NoID","3","0","0","0","","","3","47.249","132.86","2.545","69.635","46.589","54.351","391.86","52.014","1.391","564.67","2.459","0.98","1","","","","","","tPMvZ7Oqv4PbcW3+iwz0aA==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210908_015528.zc","0","0","3.111286","","","2021-09-08","01:55:28","1","2021-09-07","13:55:28","13","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","DfgVeoc5Cn1w+AeGSuXPGw==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210912_195529.zc","0","0","3.053434","","","2021-09-12","19:55:29","19","2021-09-12","07:55:29","7","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","mDQkUn/aTattGRB69gbUqw==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210908_200926.zc","0","0","5.58336","","","2021-09-08","20:09:26","20","2021-09-08","08:09:26","8","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","AU8t7NtA+ruLWLNFv1ivCA==","",""
"/Volumes/NO NAME/chrono/4455/Data","/Volumes/NO NAME/chrono/4455/Output","","SMU04455_20210913_010916.zc","0","0","3.126082","","","2021-09-13","01:09:16","1","2021-09-12","13:09:16","13","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","ptGJDOcghF/KLb194EPb5A==","",""
