"","hour","jdate","activity","act2","Wind_speed_max_m.s","Wind_speed_avg_m.s","Rain_Accumulation_mm","Rain_Duration_s","delta.air","Air_Pressure_pascal","Air_Temperature_C","Relative_Humidity_pct","rain.log","air2","delta.air2","deltaair2.log","deltaair2.cube","wind.avg2","rh2"
"1",0,239,2,3.33333333333333,1.29,1.185,0.000166666666666667,1.33333333333333,-0.5,101201.333333333,25.6783333333333,82.025,0.288431791342327,101225.833333333,-24.5,NA,NA,1.404225,6728.100625
"2",0,240,26.8,28.2,1.92333333333333,1.375,0.000833333333333333,1.5,-1.16666666666667,101306,22.9116666666667,91.7633333333333,0.406131552651325,101307.5,-1.5,NA,NA,1.890625,8420.50934444444
"3",0,241,7.4,8.5,4.12333333333333,2.31833333333333,0,0,-0.833333333333333,101578.5,22.2233333333333,87.1633333333333,-6.90775527898214,101624,-45.5,NA,NA,5.37466944444444,7597.44667777778
"4",0,242,12.4,12,1.48833333333333,1.37166666666667,0,0,-0.666666666666667,101013.333333333,23.505,86.5833333333333,-6.90775527898214,101044.5,-31.1666666666715,NA,NA,1.88146944444444,7496.67361111111
"5",0,243,25.4,23.2,3.13,2.14833333333333,0.0363333333333333,19.1666666666667,-0.5,100334,22.6016666666667,85.88,2.95322483168723,100363.166666667,-29.1666666666715,NA,NA,4.61533611111111,7375.3744
"6",0,244,2.5,4.25,2.265,1.765,5e-04,3.16666666666667,-0.5,100133.166666667,25.2,84.7233333333333,1.15299524956107,100169.833333333,-36.666666666657,NA,NA,3.115225,7178.04321111111
"7",0,245,0,1,6.77,3.34666666666667,0.534666666666667,128.833333333333,0.833333333333333,99874.3333333333,18.7066666666667,79.9466666666667,4.85852734129561,99796.1666666667,78.166666666657,4.35885609231324,4.27569972093201,11.2001777777778,6391.46951111111
"8",0,246,13.2,14.2,3.445,2.41333333333333,0,0,0.166666666666667,100950.666666667,17.1733333333333,61.8283333333333,-6.90775527898214,100945.333333333,5.33333333334303,1.67416391599756,1.74716092947366,5.82417777777778,3822.74280277778
"9",0,247,16.6,19,1.97833333333333,1.63333333333333,0,0,-0.666666666666667,101154.666666667,18.1233333333333,66.375,-6.90775527898214,101185.666666667,-31,NA,NA,2.66777777777778,4405.640625
"10",0,248,81,87.8,3.71333333333333,2.44166666666667,0,0,-0.833333333333333,100643,19.7033333333333,81.89,-6.90775527898214,100689.333333333,-46.3333333333285,NA,NA,5.96173611111111,6705.9721
"11",0,249,13,44.8,3.36166666666667,2.12833333333333,0.126,188.666666666667,-0.166666666666667,100341.666666667,20.9983333333333,91.4966666666667,5.23998708987438,100359.333333333,-17.666666666657,NA,NA,4.52980277777778,8371.64001111111
"12",0,250,26.6,21.4,2.56666666666667,2.02833333333333,0.00533333333333333,12.6666666666667,0,100727.333333333,19.805,73.1833333333333,2.53905281531052,100718.5,8.83333333332848,2.1786456454632,2.06716371441583,4.11413611111111,5355.80027777778
"13",0,251,66.5,86.75,4.77833333333333,2.95,0,0.166666666666667,-0.5,100664.5,21.4183333333333,69.5683333333333,-1.78577739755051,100700.5,-36,NA,NA,8.7025,4839.75300277778
"14",0,252,129.333333333333,118.666666666667,3.75166666666667,2.03833333333333,0,0,0.5,100179.5,22.85,80.4116666666667,-6.90775527898214,100144.833333333,34.6666666666715,3.54580745621121,3.26064883100598,4.15480277777778,6466.03613611111
"15",0,256,113,117,3.37666666666667,2.235,0,0,-0.166666666666667,101166,22.98,75.375,-6.90775527898214,101176.833333333,-10.8333333333285,NA,NA,4.995225,5681.390625
"16",0,257,83.75,62,2.195,1.92,0.000833333333333333,0.833333333333333,-0.166666666666667,101079.5,24.6516666666667,72.065,-0.181122276218472,101101.666666667,-22.1666666666715,NA,NA,3.6864,5193.364225
