"","jdate","hour","activity"
"1",238,0,4
"2",239,0,134
"3",240,0,37
"4",241,0,62
"5",242,0,127
"6",243,0,10
"7",245,0,66
"8",246,0,83
"9",247,0,405
"10",248,0,52
"11",249,0,133
"12",250,0,266
"13",251,0,388
"14",252,0,86
"15",255,0,452
"16",256,0,335
"17",257,0,405
"18",258,0,147
"19",259,0,41
"20",260,0,61
"21",261,0,260
"22",262,0,59
"23",263,0,41
"24",264,0,522
"25",265,0,25
"26",266,0,32
"27",267,0,87
"28",268,0,31
"29",269,0,61
"30",270,0,433
"31",238,1,3
"32",239,1,182
"33",240,1,44
"34",241,1,131
"35",242,1,161
"36",243,1,87
"37",244,1,2
"38",245,1,60
"39",246,1,66
"40",247,1,215
"41",248,1,42
"42",249,1,101
"43",250,1,178
"44",251,1,331
"45",252,1,57
"46",255,1,443
"47",256,1,467
"48",257,1,347
"49",258,1,60
"50",259,1,45
"51",260,1,37
"52",261,1,112
"53",262,1,37
"54",263,1,31
"55",264,1,601
"56",265,1,31
"57",266,1,42
"58",267,1,20
"59",268,1,46
"60",269,1,18
"61",270,1,289
"62",238,2,8
"63",239,2,165
"64",240,2,28
"65",241,2,59
"66",242,2,99
"67",243,2,59
"68",244,2,7
"69",245,2,54
"70",246,2,65
"71",247,2,57
"72",248,2,43
"73",249,2,79
"74",250,2,180
"75",251,2,217
"76",252,2,100
"77",255,2,498
"78",256,2,458
"79",257,2,196
"80",258,2,77
"81",259,2,79
"82",260,2,30
"83",261,2,39
"84",262,2,50
"85",263,2,64
"86",264,2,387
"87",265,2,120
"88",266,2,40
"89",267,2,28
"90",268,2,88
"91",269,2,33
"92",270,2,247
"93",238,3,20
"94",239,3,213
"95",240,3,32
"96",241,3,43
"97",242,3,98
"98",243,3,64
"99",244,3,14
"100",245,3,62
"101",246,3,52
"102",247,3,36
"103",248,3,2
"104",249,3,48
"105",250,3,191
"106",251,3,58
"107",252,3,125
"108",255,3,321
"109",256,3,289
"110",257,3,123
"111",258,3,40
"112",259,3,65
"113",260,3,28
"114",261,3,41
"115",262,3,46
"116",263,3,45
"117",264,3,280
"118",265,3,84
"119",266,3,55
"120",267,3,18
"121",268,3,89
"122",269,3,25
"123",270,3,156
"124",238,4,14
"125",239,4,209
"126",240,4,26
"127",241,4,62
"128",242,4,102
"129",243,4,30
"130",244,4,60
"131",245,4,58
"132",246,4,39
"133",247,4,73
"134",248,4,2
"135",249,4,48
"136",250,4,231
"137",251,4,56
"138",252,4,71
"139",255,4,397
"140",256,4,142
"141",257,4,143
"142",258,4,34
"143",259,4,30
"144",260,4,35
"145",261,4,30
"146",262,4,61
"147",263,4,50
"148",264,4,169
"149",265,4,5
"150",266,4,59
"151",267,4,21
"152",268,4,82
"153",269,4,42
"154",270,4,58
"155",238,5,21
"156",239,5,62
"157",240,5,28
"158",241,5,39
"159",242,5,47
"160",243,5,12
"161",244,5,73
"162",245,5,80
"163",246,5,47
"164",247,5,53
"165",248,5,12
"166",249,5,83
"167",250,5,227
"168",251,5,11
"169",252,5,54
"170",255,5,113
"171",256,5,124
"172",257,5,112
"173",258,5,31
"174",259,5,93
"175",260,5,58
"176",261,5,35
"177",262,5,48
"178",263,5,58
"179",264,5,201
"180",265,5,4
"181",266,5,49
"182",267,5,28
"183",268,5,101
"184",269,5,33
"185",270,5,45
"186",238,6,5
"187",239,6,33
"188",240,6,15
"189",241,6,18
"190",242,6,31
"191",243,6,16
"192",244,6,14
"193",245,6,18
"194",246,6,5
"195",247,6,13
"196",248,6,10
"197",249,6,19
"198",250,6,41
"199",251,6,8
"200",252,6,32
"201",255,6,61
"202",256,6,83
"203",257,6,62
"204",258,6,58
"205",259,6,139
"206",260,6,60
"207",261,6,59
"208",262,6,92
"209",263,6,74
"210",264,6,239
"211",265,6,151
"212",266,6,30
"213",267,6,27
"214",268,6,84
"215",269,6,8
"216",270,6,27
"217",257,7,2
"218",258,7,2
"219",261,7,1
"220",258,18,1
"221",259,18,11
"222",262,18,2
"223",264,18,8
"224",266,18,5
"225",239,19,10
"226",241,19,2
"227",242,19,5
"228",243,19,8
"229",244,19,5
"230",245,19,13
"231",246,19,16
"232",247,19,11
"233",248,19,56
"234",249,19,27
"235",250,19,35
"236",251,19,31
"237",252,19,46
"238",255,19,183
"239",256,19,211
"240",257,19,196
"241",258,19,196
"242",259,19,158
"243",260,19,85
"244",261,19,157
"245",262,19,29
"246",263,19,32
"247",264,19,192
"248",265,19,185
"249",266,19,305
"250",267,19,33
"251",268,19,269
"252",269,19,136
"253",270,19,464
"254",238,20,17
"255",239,20,53
"256",240,20,53
"257",241,20,48
"258",242,20,69
"259",243,20,39
"260",244,20,16
"261",245,20,116
"262",246,20,76
"263",247,20,179
"264",248,20,351
"265",249,20,401
"266",250,20,348
"267",251,20,378
"268",252,20,225
"269",255,20,570
"270",256,20,426
"271",257,20,590
"272",258,20,418
"273",259,20,196
"274",260,20,232
"275",261,20,332
"276",262,20,12
"277",263,20,48
"278",264,20,393
"279",265,20,122
"280",266,20,158
"281",267,20,27
"282",268,20,154
"283",269,20,114
"284",270,20,505
"285",238,21,16
"286",239,21,54
"287",240,21,29
"288",241,21,129
"289",242,21,120
"290",243,21,65
"291",244,21,2
"292",245,21,91
"293",246,21,25
"294",247,21,149
"295",248,21,474
"296",249,21,390
"297",250,21,368
"298",251,21,406
"299",252,21,46
"300",255,21,661
"301",256,21,430
"302",257,21,397
"303",258,21,462
"304",259,21,192
"305",260,21,148
"306",261,21,196
"307",262,21,19
"308",263,21,50
"309",264,21,486
"310",265,21,131
"311",266,21,54
"312",267,21,23
"313",268,21,83
"314",269,21,119
"315",270,21,347
"316",238,22,2
"317",239,22,119
"318",240,22,47
"319",241,22,119
"320",242,22,137
"321",243,22,12
"322",245,22,98
"323",246,22,50
"324",247,22,280
"325",248,22,359
"326",249,22,170
"327",250,22,429
"328",251,22,412
"329",252,22,143
"330",255,22,454
"331",256,22,304
"332",257,22,385
"333",258,22,444
"334",259,22,242
"335",260,22,149
"336",261,22,121
"337",262,22,42
"338",263,22,45
"339",264,22,466
"340",265,22,138
"341",266,22,75
"342",267,22,14
"343",268,22,35
"344",269,22,79
"345",270,22,454
"346",238,23,10
"347",239,23,141
"348",240,23,34
"349",241,23,60
"350",242,23,116
"351",243,23,17
"352",244,23,1
"353",245,23,71
"354",246,23,95
"355",247,23,439
"356",248,23,224
"357",249,23,107
"358",250,23,347
"359",251,23,356
"360",252,23,47
"361",255,23,468
"362",256,23,248
"363",257,23,421
"364",258,23,299
"365",259,23,79
"366",260,23,67
"367",261,23,227
"368",262,23,29
"369",263,23,46
"370",264,23,555
"371",265,23,24
"372",266,23,41
"373",267,23,36
"374",268,23,35
"375",269,23,72
"376",270,23,451
