"","jdate","hour","activity"
"236",242,19,1.83333333333333
"237",243,19,2.625
"238",244,19,5
"239",245,19,4
"240",246,19,2.5
"241",247,19,3.66666666666667
"242",248,19,10.4285714285714
"243",249,19,4.88888888888889
"244",250,19,8.14285714285714
"245",251,19,8.5
"246",252,19,11.2
"247",255,19,28
"248",256,19,32
"249",257,19,33.4444444444444
"250",258,19,30.5555555555556
"251",259,19,34.4444444444444
"252",260,19,22.6666666666667
"253",261,19,28.7
"254",262,19,7.6
"255",263,19,8.625
"256",264,19,38.9
"257",265,19,32.8333333333333
"258",266,19,48
"259",267,19,8.7
"260",268,19,61.4
"261",269,19,30.5
"262",270,19,99.2
"263",238,20,13
"264",239,20,24.3333333333333
"265",240,20,25.6666666666667
"266",241,20,12.6
"267",242,20,33.2
"268",243,20,27.1
"269",244,20,4.55555555555556
"270",245,20,18.7777777777778
"271",246,20,11.125
"272",247,20,24.8888888888889
"273",248,20,54.625
"274",249,20,57.6666666666667
"275",250,20,58
"276",251,20,69.2857142857143
"277",252,20,42.3333333333333
"278",255,20,104.777777777778
"279",256,20,90.4444444444444
"280",257,20,107
"281",258,20,99.4444444444444
"282",259,20,45.5
"283",260,20,33.1
"284",261,20,51.2
"285",262,20,3.66666666666667
"286",263,20,7.4
"287",264,20,66.3
"288",265,20,27.8
"289",266,20,20.5
"290",267,20,6.3
"291",268,20,39.6
"292",269,20,34.2
"293",270,20,119.6
"294",238,21,8
"295",239,21,25.4444444444444
"296",240,21,20.5555555555556
"297",241,21,22.6666666666667
"298",242,21,51.1
"299",243,21,22.8
"300",244,21,6.2
"301",245,21,16.5555555555556
"302",246,21,4.375
"303",247,21,20.5555555555556
"304",248,21,68.5
"305",249,21,57.625
"306",250,21,57.25
"307",251,21,97.7142857142857
"308",252,21,12.6666666666667
"309",255,21,128.777777777778
"310",256,21,73.2222222222222
"311",257,21,65.1111111111111
"312",258,21,101.666666666667
"313",259,21,37
"314",260,21,21.6
"315",261,21,29.4
"316",262,21,3.8
"317",263,21,8.4
"318",264,21,77.4
"319",265,21,23.4285714285714
"320",266,21,9.3
"321",267,21,7
"322",268,21,25
"323",269,21,29.2
"324",270,21,93.8
"325",238,22,1.33333333333333
"326",239,22,32.3
"327",240,22,20.6666666666667
"328",241,22,32.9
"329",242,22,45.8
"330",243,22,6.85714285714286
"331",244,22,1
"332",245,22,19.6666666666667
"333",246,22,9.11111111111111
"334",247,22,37
"335",248,22,44.5555555555556
"336",249,22,25.6666666666667
"337",250,22,69.75
"338",251,22,78.8571428571429
"339",252,22,30.8333333333333
"340",255,22,99.4444444444444
"341",256,22,42.2222222222222
"342",257,22,56.5555555555556
"343",258,22,105.555555555556
"344",259,22,58.6666666666667
"345",260,22,22
"346",261,22,27.4
"347",262,22,8.3
"348",263,22,8.8
"349",264,22,62.2
"350",265,22,31
"351",266,22,11.7
"352",267,22,3.8
"353",268,22,10.5
"354",269,22,20.7
"355",270,22,111
"356",238,23,3.25
"357",239,23,45.3
"358",240,23,12.5555555555556
"359",241,23,31.7
"360",242,23,53.2
"361",243,23,6.5
"362",244,23,1
"363",245,23,12.7777777777778
"364",246,23,14.7777777777778
"365",247,23,55.8888888888889
"366",248,23,30.2222222222222
"367",249,23,24
"368",250,23,57.625
