"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_040852.zc","0","0","13.826834","","","2021-08-28","04:08:52","4","2021-08-27","16:08:52","16","EPTFUS","106","97","0.915","0.324305","TADBRA","","106","30.838","48.11","5.415","53.086","30.256","36.938","121.566","32.165","4.124","268.6","5.124","26.98","1","","","","","","VwayVjRMPerKRqptw6OvaQ==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_033903.zc","0","0","15.003094","","","2021-08-28","03:39:03","3","2021-08-27","15:39:03","15","EPTFUS","82","74","0.902","0.252888","LASNOC","TADBRA","82","30.946","38.57","5.53","51.668","30.248","36.62","138.034","32.021","4.268","226.05","5.17","17.24","1","","","","","","nFKcbemoHeSX+7dFDCHbiw==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210831_025354.zc","0","0","15.000346","","","2021-08-31","02:53:54","2","2021-08-30","14:53:54","14","EPTFUS","81","71","0.877","0.418875","LASNOC","TADBRA","81","29.604","22.32","5.384","46.387","29.135","34.469","137.853","30.106","4.31","242.78","5.102","22.96","1","","","","","","JT1M0kahAS6L7jAczn6WBQ==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_040210.zc","0","0","15.000102","","","2021-08-28","04:02:10","4","2021-08-27","16:02:10","16","EPTFUS","67","61","0.91","0.419797","TADBRA","LASNOC","67","30.266","37.13","5.057","43.046","29.764","34.137","134.892","31.114","3.899","222.54","4.783","19.34","1","","","","","","rXMD+Sn9NTBMk1upQKWtDg==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_040135.zc","0","0","12.401642","","","2021-08-28","04:01:35","4","2021-08-27","16:01:35","16","EPTFUS","64","59","0.922","0.269819","TADBRA","","64","30.963","46.55","5.403","50.485","30.323","36.329","124.767","32.107","4.114","278.15","5.037","18.22","1","","","","","","yma7QIXyyFrbHNRDUggL8Q==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_043453.zc","0","0","14.995693","","","2021-08-28","04:34:53","4","2021-08-27","16:34:53","16","EPTFUS","73","59","0.808","0.293365","LASNOC","TADBRA","73","29.879","41.37","5.615","44.309","29.324","33.791","168.881","30.866","4.223","285.16","5.208","23.38","1","","","","","","7lpa0Mum+2RWBHvz7L5mOA==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210831_030010.zc","0","0","14.053663","","","2021-08-31","03:00:10","3","2021-08-30","15:00:10","15","EPTFUS","63","58","0.921","0.390518","LASNOC","TADBRA","63","29.645","24.85","4.831","44.085","29.138","33.928","149.312","30.162","3.776","262.98","4.571","17.91","1","","","","","","/1IA3bjskOBqxzb57yPzJQ==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_042423.zc","0","0","14.80451","","","2021-08-28","04:24:23","4","2021-08-27","16:24:23","16","EPTFUS","75","58","0.773","0.25598","TADBRA","LASNOC","75","30.055","39.49","5.726","46.873","29.508","34.421","134.415","31.056","4.334","273.09","5.329","22.53","1","","","","","","ZNlvD8BmIn5IvnnPHgMdTw==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_040639.zc","0","0","14.995862","","","2021-08-28","04:06:39","4","2021-08-27","16:06:39","16","EPTFUS","61","52","0.852","0.295251","LASNOC","TADBRA","61","30.688","32.35","4.938","44.127","30.081","34.644","138.095","31.512","3.78","246.99","4.613","15.93","1","","","","","","uEzdGdTO1PowfzK4wa7HoA==","",""
"/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Data","/Volumes/Maynard/SERC audio 2021/Indole/2207 9.2/Bat output","","SMU02207_20210828_040607.zc","0","0","12.412295","","","2021-08-28","04:06:07","4","2021-08-27","16:06:07","16","EPTFUS","62","52","0.839","0.278205","TADBRA","","62","30.795","40.69","4.891","45.255","30.161","35.035","142.756","31.798","3.734","229.12","4.575","17.4","1","","","","","","JZFbofb1ICPR4Z7rz0OVfw==","",""
